round_id,sequence_name,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,rolling_sla_10,rolling_sla_50,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive,recovery_failed,hard_mode_note
48,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.76,ISOLATE_TELEMETRY_STREAM,28.0,0.0,0.0,20.0,27.08,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
49,MIXED_SAFE_SEQUENCE,TRAFFIC_SPIKE,0.79,APPLY_RATE_LIMIT,24.0,0.0,0.0,10.0,26.53,0.0,45.0,93.5,32.38,True,False,True,local pressure=5; partial/delayed recovery
50,MIXED_SAFE_SEQUENCE,AUTH_ANOMALY,0.71,BLOCK_SUSPICIOUS_TOKEN,24.0,100.0,100.0,10.0,28.0,0.0,0.0,100.0,71.3,True,False,False,local pressure=5
51,MIXED_SAFE_SEQUENCE,MISSION_COMMAND_ANOMALY,0.69,ESCALATE_ALERT,24.0,100.0,100.0,20.0,28.0,0.0,0.0,100.0,71.5,True,False,False,local pressure=5
52,MIXED_SAFE_SEQUENCE,SERVICE_DEGRADATION,0.72,RESTART_SERVICE,24.0,0.0,0.0,20.0,28.0,0.0,65.0,91.5,23.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
53,NOISE_THEN_PRESSURE,LOG_NOISE,0.18,OBSERVE_ONLY,24.0,100.0,100.0,30.0,30.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=4
54,NOISE_THEN_PRESSURE,LOG_NOISE,0.28,OBSERVE_ONLY,28.0,100.0,100.0,40.0,32.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=3
55,NOISE_THEN_PRESSURE,TRAFFIC_SPIKE,0.85,APPLY_RATE_LIMIT,32.0,0.0,0.0,40.0,32.0,0.0,45.0,93.5,31.38,True,False,True,local pressure=4; partial/delayed recovery
56,NOISE_THEN_PRESSURE,TELEMETRY_INCONSISTENCY,0.83,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,40.0,32.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
57,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.79,RESTART_SERVICE,32.0,0.0,0.0,40.0,32.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
58,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.92,RESTART_SERVICE,32.0,0.0,0.0,40.0,30.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
59,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.73,RESTART_SERVICE,32.0,0.0,0.0,40.0,28.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
60,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.71,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,30.0,28.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
61,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.9,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,20.0,26.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
62,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.79,ISOLATE_TELEMETRY_STREAM,28.0,0.0,0.0,20.0,24.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
63,MIXED_SAFE_SEQUENCE,TRAFFIC_SPIKE,0.78,APPLY_RATE_LIMIT,24.0,0.0,0.0,10.0,24.0,0.0,45.0,93.5,32.38,True,False,True,local pressure=5; partial/delayed recovery
64,MIXED_SAFE_SEQUENCE,AUTH_ANOMALY,0.73,BLOCK_SUSPICIOUS_TOKEN,24.0,100.0,100.0,10.0,26.0,0.0,0.0,100.0,71.3,True,False,False,local pressure=5
65,MIXED_SAFE_SEQUENCE,MISSION_COMMAND_ANOMALY,0.73,ESCALATE_ALERT,24.0,100.0,100.0,20.0,28.0,0.0,0.0,100.0,71.5,True,False,False,local pressure=5
66,MIXED_SAFE_SEQUENCE,SERVICE_DEGRADATION,0.76,RESTART_SERVICE,24.0,0.0,0.0,20.0,28.0,0.0,65.0,91.5,23.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
67,NOISE_THEN_PRESSURE,LOG_NOISE,0.18,OBSERVE_ONLY,24.0,100.0,100.0,30.0,30.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=4
68,NOISE_THEN_PRESSURE,LOG_NOISE,0.21,OBSERVE_ONLY,28.0,100.0,100.0,40.0,32.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=3
69,NOISE_THEN_PRESSURE,TRAFFIC_SPIKE,0.83,APPLY_RATE_LIMIT,32.0,0.0,0.0,40.0,32.0,0.0,45.0,93.5,31.38,True,False,True,local pressure=4; partial/delayed recovery
70,NOISE_THEN_PRESSURE,TELEMETRY_INCONSISTENCY,0.8,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,40.0,32.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
71,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.8,RESTART_SERVICE,32.0,0.0,0.0,40.0,32.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
72,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.94,RESTART_SERVICE,32.0,0.0,0.0,40.0,30.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
73,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.79,RESTART_SERVICE,32.0,0.0,0.0,40.0,28.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
74,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.71,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,30.0,28.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
75,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.87,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,20.0,26.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
76,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.77,ISOLATE_TELEMETRY_STREAM,28.0,0.0,0.0,20.0,24.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
77,MIXED_SAFE_SEQUENCE,TRAFFIC_SPIKE,0.81,APPLY_RATE_LIMIT,24.0,0.0,0.0,10.0,24.0,0.0,45.0,93.5,32.38,True,False,True,local pressure=5; partial/delayed recovery
78,MIXED_SAFE_SEQUENCE,AUTH_ANOMALY,0.72,BLOCK_SUSPICIOUS_TOKEN,24.0,100.0,100.0,10.0,26.0,0.0,0.0,100.0,71.3,True,False,False,local pressure=5
79,MIXED_SAFE_SEQUENCE,MISSION_COMMAND_ANOMALY,0.68,ESCALATE_ALERT,24.0,100.0,100.0,20.0,28.0,0.0,0.0,100.0,71.5,True,False,False,local pressure=5
80,MIXED_SAFE_SEQUENCE,SERVICE_DEGRADATION,0.72,RESTART_SERVICE,24.0,0.0,0.0,20.0,28.0,0.0,65.0,91.5,23.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
81,NOISE_THEN_PRESSURE,LOG_NOISE,0.2,OBSERVE_ONLY,24.0,100.0,100.0,30.0,30.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=4
82,NOISE_THEN_PRESSURE,LOG_NOISE,0.23,OBSERVE_ONLY,28.0,100.0,100.0,40.0,32.0,0.0,0.0,100.0,72.0,True,False,False,local pressure=3
83,NOISE_THEN_PRESSURE,TRAFFIC_SPIKE,0.85,APPLY_RATE_LIMIT,32.0,0.0,0.0,40.0,32.0,0.0,45.0,93.5,31.38,True,False,True,local pressure=4; partial/delayed recovery
84,NOISE_THEN_PRESSURE,TELEMETRY_INCONSISTENCY,0.85,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,40.0,32.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
85,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.81,RESTART_SERVICE,32.0,0.0,0.0,40.0,32.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
86,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.88,RESTART_SERVICE,32.0,0.0,0.0,40.0,30.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
87,REPEATED_SERVICE_DEGRADATION,SERVICE_DEGRADATION,0.8,RESTART_SERVICE,32.0,0.0,0.0,40.0,28.0,0.0,65.0,91.5,22.48,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=26.0; partial/delayed recovery
88,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.72,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,30.0,28.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
89,TELEMETRY_DRIFT,TELEMETRY_INCONSISTENCY,0.83,ISOLATE_TELEMETRY_STREAM,32.0,0.0,0.0,20.0,26.0,0.0,45.0,92.5,28.22,True,False,True,local pressure=5; repeated anomaly pressure; higher simulated action cost=22.0; partial/delayed recovery
