round_id,event_type,severity,blue_action,pre_sla,post_event_sla,post_action_sla,recovery_delta,red_success_score,blue_defense_score,total_utility,action_match,false_positive,instant_sla,rolling_sla_10,rolling_sla_50,rolling_recovery_delta
32,AUTH_ANOMALY,0.74,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
33,AUTH_ANOMALY,0.66,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
34,AUTH_ANOMALY,0.84,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
35,AUTH_ANOMALY,0.6,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
36,AUTH_ANOMALY,0.67,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
37,AUTH_ANOMALY,0.78,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
38,AUTH_ANOMALY,0.7,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
39,AUTH_ANOMALY,0.79,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
40,AUTH_ANOMALY,0.68,BLOCK_SUSPICIOUS_TOKEN,100.0,100.0,100.0,0.0,0.0,100.0,71.3,True,False,100.0,100.0,100.0,0.0
41,TELEMETRY_INCONSISTENCY,0.73,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
42,TELEMETRY_INCONSISTENCY,0.47,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
43,TELEMETRY_INCONSISTENCY,0.54,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
44,TELEMETRY_INCONSISTENCY,0.57,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
45,TELEMETRY_INCONSISTENCY,0.48,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
46,TELEMETRY_INCONSISTENCY,0.54,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
47,TELEMETRY_INCONSISTENCY,0.49,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
48,TELEMETRY_INCONSISTENCY,0.56,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
49,TELEMETRY_INCONSISTENCY,0.7,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
50,TELEMETRY_INCONSISTENCY,0.6,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
51,TELEMETRY_INCONSISTENCY,0.6,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
52,TELEMETRY_INCONSISTENCY,0.53,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
53,TELEMETRY_INCONSISTENCY,0.56,ISOLATE_TELEMETRY_STREAM,100.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,0.0
54,TELEMETRY_INCONSISTENCY,0.82,ISOLATE_TELEMETRY_STREAM,100.0,0.0,100.0,100.0,25.0,100.0,67.75,True,False,100.0,100.0,100.0,10.0
55,TELEMETRY_INCONSISTENCY,0.71,ISOLATE_TELEMETRY_STREAM,98.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,10.0
56,TELEMETRY_INCONSISTENCY,0.69,ISOLATE_TELEMETRY_STREAM,98.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,10.0
57,TELEMETRY_INCONSISTENCY,0.52,ISOLATE_TELEMETRY_STREAM,98.0,100.0,100.0,0.0,0.0,100.0,71.0,True,False,100.0,100.0,100.0,10.0
